INSPECTION_ID,PROPERTY_ID,PROPERTY_NAME,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAME,COUNTY_CODE,STATE_NAME,STATE_CODE,ZIP,LATITUDE,LONGITUDE,LOCATION_QUALITY,INSPECTION_SCORE,INSPECTION_DATE
512210,800068351,St. Ailbe 811 Housing,9101 S Harper Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60619,41.729551,-87.586559,R,89,12/3/2013 16:01
512220,800006299,Self-Help Home for the Aged,908 W Argyle St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60640,41.973456,-87.653095,R,72,6/25/2014 9:41
512327,800211351,Beth Anne Extended Living,1143 N Lavergne Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60651,41.901855,-87.750628,R,98,12/9/2013 10:11
512367,800236776,Renaissance Preservation,6153 S Greenwood Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60637,41.783033,-87.599276,R,95,12/3/2013 9:54
512491,800005947,Orchard Place of Morgan Park/Beverly,11230 S Vincennes Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60643,41.689413,-87.665282,R,95,11/22/2013 9:55
512516,800006175,NORTHWEST CHICAGO GROUP HOMES/aka/Hutchinson House,3348 W Hutchinson St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60618,41.958608,-87.711941,R,84,11/26/2013 10:00
512631,800006015,Kedzie Apartments,1500 N Kedzie Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60651,41.908294,-87.707176,R,81,11/20/2013 9:28
512752,800006384,TABOR LUTHERAN SENIOR HOUSING,7429 S Kingston Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60649,41.759852,-87.562927,R,86,12/17/2013 9:55
512938,800211354,Clair House,1350 S Harding Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60623,41.862919,-87.724058,R,69,11/19/2013 10:00
513170,800006145,MIDWAY PLAISANCE SENIOR APARTMENTS,731 E 60th St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60637,41.785662,-87.607780,R,60,12/12/2013 9:43
513277,800067934,Margaret Ford Manor,4500 S Wabash Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60653,41.813078,-87.624768,R,89,1/9/2014 10:03
513327,800112174,Emil Jones Jr. Senior Housing Center,19 E 110th Pl,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60628,41.693786,-87.622426,R,80,11/15/2013 9:52
513511,800068341,VICTORIA JENNINGS RESIDENCES,624 W 61st St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60621,41.783642,-87.640519,R,62,11/12/2013 10:43
513512,800005776,TOLTON MANOR,6345 S Stewart Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60621,41.778834,-87.634805,R,99,11/14/2013 10:14
513550,800005898,FRED WOODS HOUSE,4631 N Beacon St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60640,41.965907,-87.663719,R,55,1/22/2014 10:08
513675,800213057,Sawyer Gardens,1215 S Sawyer Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60623,41.865911,-87.706643,R,80,11/20/2013 9:50
513686,800067935,Elois McCoy Village Apartments,4650 W Van Buren St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60644,41.875245,-87.741324,R,88,12/16/2013 10:24
513735,800223448,Jarrell/Lawndale Restoration,3324 W Douglas Blvd,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60623,41.863080,-87.709115,R,72,12/5/2013 9:13
513850,800211853,St. Ailbe Apartments,1244 E 93rd St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60619,41.726035,-87.593332,R,88,12/2/2013 10:06
513938,800000046,MATTHEW MANOR,271 N Albany Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60612,41.885986,-87.703574,R,85,11/21/2013 9:43
